,prompts
10,"Generate an image with no text or watermark. The picture should depict a flock of birds flying over a mountain. The birds should be portrayed in various shades of brown and black, gracefully soaring through the sky. The mountain should be positioned in the background, with its peaks covered in a light layer of mist. The scene should be set during sunset, with the sky adorned in soft hues of pink and orange. The overall style of the image should reflect ancient Chinese art, with traditional architecture and landscapes."
11,"Generate an image with a golden mirror shining brightly in the center. The mirror should be adorned with a phoenix and a dragon, symbolizing elegance and power. The background should be a serene scene with lush green mountains and a clear blue sky. The image should have an ancient Chinese aesthetic, with traditional architecture and elements. Ensure that there is no text or watermark in the generated image."
12,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a small garden with vibrant colors. The garden should have a variety of flowers and plants, including blooming cherry blossoms and lush green trees. The garden should be surrounded by a low wall made of gray stones. In the middle of the garden, there should be a traditional Chinese-style pavilion with a curved roof and red pillars. The pavilion should be adorned with intricate carvings and have a golden dragon motif. The pavilion should be positioned to the left of the image. In the background, there should be a serene landscape with rolling hills covered in mist. The hills should be painted in shades of green and gray, creating a sense of depth. The sky should be a soft shade of blue with wispy white clouds. The overall atmosphere should evoke a feeling of tranquility and elegance."
13,"Generate an image with a serene scene of ancient China. The picture should depict a beautiful landscape with a clear blue sky and lush green mountains in the background. In the foreground, there should be a flowing river with a small wooden bridge crossing it. On the bridge, there should be a solitary figure dressed in traditional Chinese clothing, playing a melodious tune on a jade flute. The figure should be positioned towards the left side of the image. Surrounding the river, there should be blooming cherry blossom trees, their delicate pink petals gently falling in the breeze. The overall color palette should be soft and muted, with hints of pastel colors. Ensure that there are no watermarks or text in the generated image."
14,"Generate an image with a green feather tassel curtain hanging in the foreground. The curtain should be positioned slightly to the left, gently swaying in the breeze. In the background, create a serene scene with a traditional Chinese garden. The garden should be filled with blooming cherry blossom trees, a tranquil pond, and a small pavilion. The color palette should consist of soft pastel hues, with shades of pink, green, and blue dominating the scene. Ensure that there are no text or watermarks in the generated image."
15,"Generate an image with no text or watermark. The picture should depict a snowy mountain range with flying snowflakes. The mountains should be colored in shades of gray and white, towering in the background. In the foreground, there should be an ancient Chinese watchtower, positioned on a hill. The watchtower should be colored in earthy tones, such as brown or beige, with a touch of red. The scene should have a serene and tranquil atmosphere, with a hint of mystery. The background should be a pale blue sky, covered in clouds, giving a sense of vastness and distance."
16,"Generate an image with a serene background of a traditional Chinese garden. The garden should be adorned with vibrant cherry blossom trees, their delicate pink petals gently falling to the ground. In the center of the image, position a majestic peacock with its vibrant blue and green feathers spread wide, symbolizing beauty and grace. On the left side of the image, place a golden incense burner emitting a fragrant smoke, representing spirituality and tranquility. On the right side, position a traditional Chinese zither, its elegant wooden frame and strings reflecting the harmony of music. The background should be a soft, pastel color palette, evoking a sense of calmness and nostalgia. Ensure that there are no watermarks or text in the generated image."
17,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be purple plum blossoms blooming for the first time, symbolizing new beginnings. The blossoms should be positioned on the left side of the image, vibrant and full of life. On the right side, a yellow bird should be perched on a branch, singing a hesitant melody. The bird represents the lingering traces of winter, still unsure of the arrival of spring. The background should be a serene landscape, painted in soft pastel colors, reminiscent of an ancient Chinese painting. The scene should include rolling hills, a meandering river, and a small traditional Chinese pavilion nestled among the trees. The overall atmosphere should evoke a sense of tranquility and anticipation."
18,"Generate an image with no text or watermark. The picture should depict a serene scene with a clear night sky filled with bright, twinkling stars. The stars should be depicted as shining brightly against the dark blue background. The foreground should feature a tranquil landscape with rolling hills and a calm river flowing through them. The hills should be lush and green, while the river should be depicted as a shimmering silver ribbon. The scene should be set in ancient China, with traditional Chinese architecture, such as pagodas or temples, visible in the distance. The buildings should be adorned with intricate designs and vibrant colors, such as reds and golds. The overall atmosphere of the image should evoke a sense of peace, tranquility, and awe-inspiring beauty."
19,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a lush green forest with tall, wild trees. The leaves of the trees should be a vibrant shade of emerald. In the center of the image, there should be a clear, flowing stream with sparkling water. The water should have a gentle blue hue. The stream should meander through the forest, creating a sense of tranquility. The background of the image should showcase distant mountains, painted in soft shades of gray and blue, blending with the sky. The mountains should be shrouded in mist, evoking a sense of mystery and ancient beauty. The overall color palette of the image should be warm and earthy, with hints of green, blue, and gray."
20,"Generate an image with a serene winter landscape. The foreground should depict distant mountains covered in pristine white snow, exuding a sense of tranquility. The mountains should be positioned towards the center of the image, with their peaks reaching towards the sky. The snow should be a pure white color, contrasting against the deep green of the surrounding trees. The trees should be scattered around the mountains, their branches adorned with delicate snowflakes. The background should showcase a vast sky, painted in shades of pale blue and pink, as the sun sets behind the mountains. The scene should be reminiscent of ancient Chinese landscapes, with traditional architecture and elements. Ensure that the generated image does not contain any text or watermarks."
21,"Generate an image with a serene scene of ancient China. The picture should depict a flowing river surrounded by lush greenery. In the foreground, place a delicate cherry blossom tree with vibrant pink flowers. On the riverbank, position a solitary figure dressed in traditional Chinese attire, gazing wistfully towards the east. The background should showcase misty mountains and a tranquil pagoda. Ensure that there are no texts or watermarks in the image."
22,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a small porcelain dish filled with vibrant red cinnabar. The dish should be placed on a wooden table, adorned with intricate carvings and aged with time. The background should consist of a serene garden with lush greenery, blooming cherry blossom trees, and a traditional Chinese pavilion. The color palette should be rich and warm, with hues of red, gold, and earthy tones dominating the scene."
23,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there is a dog with a brown coat, positioned in the middle of a fence. The dog is barking, as if welcoming someone. In the background, there is a traditional Chinese house with a wooden door painted in red. The house is surrounded by lush greenery, with blooming flowers and tall bamboo trees. The overall color scheme should be warm and vibrant, with a touch of tranquility."
24,"Generate an image with no text or watermark. The picture should depict a serene autumn mountain scene. In the foreground, there should be a cold city with buildings in ancient Chinese style. The buildings should be colored in shades of gray and brown, reflecting their age and history. The city should be positioned at the foot of the mountain, with the mountain towering above it. The mountain should be covered in lush greenery, representing its vitality. The background should be a clear blue sky, symbolizing tranquility."
25,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a hanging scroll (color: earthy tones) with a depiction of a withered tree branch. On the window sill, there is a small vase (color: blue and white) with a single blooming plum blossom. The background should showcase a serene garden with a stone bridge over a tranquil pond (color: emerald green). The scene should be set during the early morning, with soft sunlight filtering through the misty atmosphere."
26,"Generate an image with a serene night scene. In the foreground, depict a group of still objects: a red lantern hanging from a tree branch on the left, a blue porcelain vase with delicate flowers on a wooden table in the center, and a white folding fan resting on a stone bench on the right. The background should showcase a moonlit garden with ancient Chinese-style buildings, surrounded by lush greenery. Ensure that there is no text or watermark in the generated image."
27,"Generate an image with a serene river flowing through a lush green forest. The river should be depicted in a clear blue color, winding its way through the picture. The forest should consist of tall, ancient trees with vibrant green leaves. The position of the river should be towards the center of the image, with the forest surrounding it.

The background of the image should be a picturesque landscape, featuring rolling hills and distant mountains. The hills should be covered in a soft shade of green, while the mountains should be depicted in a faded blue color, symbolizing their distance. The scene should evoke a sense of tranquility and peace.

Ensure that there are no texts or watermarks in the generated image. The overall style of the image should reflect the ancient Chinese aesthetic, with traditional architecture and elements that complement the serene natural setting."
28,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a table with a plate of fragrant rice, colored white, and a cup of wine, colored red. The table is positioned slightly to the left of the image. In the background, there is a traditional Chinese garden with lush greenery, a small pond with lotus flowers, and a graceful pavilion. The garden is surrounded by a stone wall, and beyond it, there are misty mountains. The overall color scheme should be warm and earthy, with shades of green, brown, and hints of red."
29,"Generate an image with a serene and ancient Chinese landscape. The foreground should depict a blooming cherry blossom tree on the left side of the picture, with its delicate pink petals gently falling. On the right side, a tranquil pond reflects the vibrant colors of the surrounding scenery. In the middle ground, a traditional Chinese pavilion stands gracefully, adorned with intricate red and gold accents. The pavilion overlooks the pond, offering a picturesque view. The background should showcase rolling hills covered in lush greenery, symbolizing the beauty of nature. The scene should be bathed in warm, golden sunlight, creating a peaceful and nostalgic atmosphere. Ensure that there are no text or watermarks in the generated image."
30,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a delicate dewdrop, shimmering with a soft golden hue. It is positioned horizontally, suspended in mid-air. The background should be a tranquil landscape, painted with muted shades of green and blue, portraying rolling hills, a meandering river, and a graceful bridge. The overall atmosphere should evoke a sense of tranquility and contemplation."
31,"Generate an image with no text or watermark. The picture should depict a cold pond reflecting withered grass. In the foreground, there should be a tall, dilapidated pavilion surrounded by sparse, ancient Chinese style trees. The color scheme should evoke a sense of melancholy, with muted tones of gray, brown, and green. The background should feature a serene landscape, with misty mountains and a calm river flowing through the scene."
32,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a solitary, withered tree, colored in shades of gray and brown, positioned slightly off-center. The tree symbolizes solitude and melancholy. The background should be a picturesque landscape with rolling hills, a meandering river, and a small traditional Chinese pavilion. The hills should be lush green, and the river should shimmer in shades of blue. The pavilion should be adorned with intricate carvings and have a curved, tiled roof, colored in vibrant red and gold. The overall color palette of the image should be soft and muted, evoking a sense of tranquility."
33,"Generate an image with a serene scene of ancient China. The picture should depict a river with a bridge, and on the other side, there should be lush mulberry and Chinese scholar trees. The mulberry trees should be green, and the scholar trees should have yellow leaves. The bridge should be made of stone and have an arch shape. The background should be a picturesque landscape with rolling hills, a clear blue sky, and a few traditional Chinese buildings in the distance. The overall color scheme should be warm and vibrant, with a touch of tranquility. Ensure that there are no text or watermarks in the generated image."
34,"Generate an image with a serene night scene in ancient Chinese style. The picture should depict a tranquil landscape with a moonlit sky. In the foreground, place a group of crickets, their bodies colored in shades of green and brown, positioned on a bed of lush green grass. The crickets should be depicted in various stages of motion, symbolizing their lively activity. The background should showcase a traditional Chinese garden with elegant pavilions, delicate bridges, and serene ponds. The color palette should consist of soft hues of blue, green, and gray, creating a peaceful and harmonious atmosphere. Ensure that there is no text or watermark in the generated image."
35,"Generate an image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, there should be a tall tower, colored in shades of red and gold, symbolizing power and prosperity. The tower should be positioned on the left side of the image, reaching towards the sky. On the right side of the image, there should be a person standing, gazing up at the tower with a pensive expression. The person should be dressed in traditional Chinese clothing, reflecting the ancient setting. The background should be a serene landscape, with rolling hills and a calm river flowing through it. The colors of the background should be soft and muted, with shades of green and blue, creating a peaceful atmosphere."
36,"Generate an image with a serene and ancient Chinese style. The picture should depict a tranquil scene with a lotus flower in the foreground, colored in shades of pink and white. The lotus should be positioned slightly off-center, with its delicate petals gently resting on the calm surface of a serene pond. The background should showcase a traditional Chinese garden, with lush greenery, a small wooden bridge, and a pagoda peeking through the trees. The overall color palette should be soft and muted, with hints of pastel colors. Ensure that there are no text or watermarks in the generated image."
37,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a vast expanse of peach trees, their blossoms in full bloom, creating a sea of pink. The trees are positioned in a way that they seem to stretch endlessly, reaching the horizon. The background should showcase the majestic Qin Mountains, with their peaks covered in mist, giving them a mystical appearance. The color palette should consist of soft pastel hues, with shades of pink for the blossoms, light green for the leaves, and hints of purple and blue for the mountains. The overall atmosphere should evoke a sense of tranquility and beauty."
38,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a withered mulberry tree (color: brown) swaying in the melancholic wind. Surrounding the tree, there are several flying dandelions (color: white) representing the desolation of the ancient fortress (color: gray) in the background. The fortress should be situated on a barren plain, with mountains (color: green) in the distance. The overall color scheme should evoke a sense of nostalgia and solitude."
39,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a solitary mountain, its peaks reaching into the sky. The mountain is depicted in shades of green and gray, with mist swirling around its base. In the middle ground, there is a small boat floating on a calm river. The boat is adorned with red and gold accents, reflecting the elegance of ancient Chinese design. The river is depicted in shades of blue, reflecting the clear sky above. In the background, there is a sprawling landscape of rolling hills and lush forests, painted in soft hues of green and brown. The sky above is a pale blue, with fluffy white clouds scattered across it. The overall scene should evoke a sense of tranquility and beauty, capturing the essence of the poem's emotions."
40,"Generate an image with no text or watermark. The picture should depict a serene autumn scene in ancient Chinese style. In the foreground, there is a tranquil river, reflecting the colors of the setting sun. The river is surrounded by vibrant, golden-hued trees, their leaves gently falling. On the riverbank, there is a small, elegant pavilion with a curved roof, painted in traditional Chinese red. In the distance, there are misty mountains, shrouded in a soft purple hue. The background should be a clear, pale blue sky, with wisps of white clouds. The overall atmosphere should evoke a sense of tranquility and solitude."
41,"Generate an image with a serene scene of an ancient Chinese garden. The picture should depict a vibrant red plum blossom tree on the left side of the image, symbolizing the arrival of spring. On the right side, there should be a graceful weeping willow tree with its branches gently swaying in the breeze. The background should be a tranquil pond with lotus flowers in bloom, reflecting the surrounding scenery. The color palette should consist of soft pastel tones, with hints of pink, green, and blue, creating a peaceful and harmonious atmosphere. Ensure that there are no texts or watermarks in the generated image."
42,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a person on a horse, dismounted and drinking wine from a cup. The person is dressed in traditional Chinese attire, with a flowing robe of deep blue color. The horse is brown and stands calmly beside them. The background should feature a tranquil landscape with rolling hills, a meandering river, and a small pavilion nestled among lush green trees. The color palette should be soft and muted, with shades of green, blue, and earth tones."
43,"Generate an image with a serene scene of an ancient Chinese landscape. The foreground should depict a small thatched cottage, colored in earthy tones, positioned on the eastern mountain. Surrounding the cottage, there should be lush greenery and blooming flowers, creating a peaceful atmosphere. The background should showcase misty mountains, flowing rivers, and a tranquil waterfall, all painted in soft shades of blue and gray. Ensure that there are no texts or watermarks in the generated image."
44,"Generate an image with no text or watermark. The picture should depict a serene scene with a cold, clear sky. In the foreground, there should be distant mountains, covered in a pristine white snow. The mountains should be positioned towards the left side of the image. In the middle ground, there should be a long, winding river flowing rapidly. The river should be positioned towards the right side of the image. The river should be depicted in shades of blue, reflecting the setting sun. The background should be a vast expanse of ancient Chinese-style architecture, with traditional buildings and pagodas. The architecture should be positioned in the center and towards the right side of the image. The overall color scheme should be muted, with shades of blue, white, and earth tones dominating the scene."
45,"Generate an image with a serene scene of ancient China. The picture should depict a vibrant green pine tree standing tall in the foreground, with its branches reaching towards the sky. The tree should be positioned slightly to the right of the image. In the background, there should be a clear river flowing gently, reflecting the surrounding landscape. The river should be positioned towards the left side of the image. The overall color palette should consist of soft, earthy tones, with hints of green, blue, and brown. The scene should evoke a sense of tranquility and harmony. Ensure that there are no text or watermarks present in the generated image."
46,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there are vibrant red maple leaves scattered on the ground. In the middle ground, there is a traditional Chinese courtyard with a wooden pavilion and a stone bridge over a tranquil river. The courtyard is surrounded by lush green trees and colorful autumn foliage. The background should showcase misty mountains and a clear blue sky. The overall color palette should be warm and earthy, with hints of red, orange, and gold."
47,"Generate an image with no text or watermark. The picture should depict an ancient Chinese scene. In the foreground, there are vibrant red cherry blossoms on the left side of the image, symbolizing beauty and transience. On the right side, there is a flowing river with clear blue water, representing tranquility and harmony. In the middle ground, there is a traditional Chinese pavilion with a curved roof, painted in elegant shades of green and gold. The pavilion is surrounded by lush green trees, creating a serene atmosphere. In the background, there are misty mountains covered in shades of purple and blue, evoking a sense of mystery and grandeur. The overall color palette should be soft and muted, with a touch of warm tones to create a nostalgic ambiance."
48,"Create an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a river with a bridge crossing it. The bridge should be painted in a vibrant red color, symbolizing good fortune. On the bridge, there should be a couple dressed in traditional Chinese clothing, sewing a beautiful spring garment. The garment should be colorful, with shades of pink, blue, and green, representing the arrival of spring. The couple should be smiling and content, reflecting the joy and anticipation of the season. In the background, there should be lush green mountains, symbolizing tranquility and harmony. The sky should be a soft shade of blue, with wisps of white clouds. The overall atmosphere should evoke a sense of peace and beauty."
49,"Generate an image with a serene and ancient Chinese setting. The foreground should feature a distant mountain range with peaks shrouded in mist. In the center, place a bronze incense burner emitting fragrant smoke. Reflecting in a clear lake, position a stone mirror. The objects should be colored in traditional shades of gold and bronze. The background should depict a tranquil landscape with lush greenery, a flowing river, and a small pavilion nestled among willow trees. Ensure there is no text or watermark in the image."
50,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a majestic mountain range, painted in shades of green and gray, with mist swirling around its peaks. In the middle ground, a tranquil river flows gracefully, reflecting the vibrant colors of the surrounding trees and flowers. On the riverbank, a small pavilion stands, adorned with intricate carvings and red pillars. In the distance, a traditional Chinese pagoda can be seen, its elegant silhouette blending harmoniously with the landscape. The background should be a clear blue sky, dotted with fluffy white clouds. The overall atmosphere should evoke a sense of peace and tranquility."
51,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there are lush green willow trees on the left, symbolizing the vibrant colors of spring. On the right, there are tall and elegant locust trees, casting a cool shade, representing the clearness of summer. The background should be a picturesque landscape with rolling hills, a tranquil river, and a traditional Chinese pavilion. The color palette should consist of soft pastel tones, with hints of green, blue, and pink, creating a peaceful and harmonious atmosphere."
52,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient Chinese style. In the foreground, there should be a window with an open lattice, revealing a view of the Yang River. The window frame should be wooden and painted in a deep, rich brown color. Outside the window, there should be a flock of birds flying gracefully, their feathers painted in vibrant shades of blue and white. The birds should appear as if they are disappearing into the distance. The background should be a picturesque landscape, featuring rolling hills and lush greenery. The hills should be painted in various shades of green, with hints of yellow and brown. The sky should be a clear, pale blue, with wisps of white clouds scattered across it. The overall atmosphere of the image should evoke a sense of tranquility and natural beauty."
53,"Create a serene image with ancient Chinese aesthetics. The picture should depict a tranquil landscape with a clear blue sky and lush green mountains in the background. In the foreground, position a weeping figure dressed in traditional Chinese attire, standing beside a wooden cart with a rotating wheel. The cart should be painted in a deep red color, symbolizing passion and emotion. Ensure that there are no texts or watermarks in the generated image."
54,"Create a serene image with ancient Chinese style. The picture should depict a scene of farewell on a desolate road. In the foreground, there should be two figures, one dressed in a flowing white robe and the other in a vibrant red attire. The figures should be positioned facing each other, with a sense of longing and sadness in their eyes. The background should be a misty landscape, with rolling hills and a river flowing gently in the distance. The colors should be muted, with shades of gray, green, and blue dominating the scene. Ensure that there are no texts or watermarks in the generated image."
55,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a flowing river, its water crystal clear and frozen, reflecting the surrounding landscape. The river is colored in shades of icy blue and is positioned towards the bottom of the image. On the riverbank, there is a majestic snow-covered gate, reminiscent of the ancient Toguan Pass. The gate is adorned with intricate carvings and is colored in shades of white and gray. In the background, there is a picturesque winter landscape, with snow-covered mountains and trees. The mountains are colored in shades of gray and white, while the trees are adorned with delicate branches covered in snow. The sky above is a soft shade of pale blue, with a few wisps of clouds. The overall atmosphere should evoke a sense of tranquility and awe-inspiring beauty."
56,"Generate an image with no text or watermark. The picture should depict a serene landscape with vibrant colors. In the foreground, there should be a blooming cherry blossom tree on the left side, with its delicate pink petals cascading down. On the right side, there should be a tranquil pond reflecting the clear blue sky. In the middle ground, there should be a small wooden bridge crossing the pond, painted in a traditional Chinese red color. The bridge should lead to a traditional Chinese pavilion, situated on a small island in the pond. The pavilion should have an elegant curved roof and be adorned with intricate carvings. The background should showcase rolling hills covered in lush greenery, symbolizing the arrival of spring. The hills should be dotted with ancient Chinese-style buildings, blending harmoniously with the natural surroundings. The overall color palette should be vibrant and warm, with a soft golden glow enveloping the scene."
57,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there are green mountains with lush forests, extending horizontally. The mountains should be depicted in shades of green, while the forests should be depicted in various shades of green and brown. In the middle ground, there is a vast, flat land bathed in the warm glow of the setting sun. The land should be depicted in shades of red and orange, symbolizing the setting sun. The background should feature a clear blue sky, with wisps of white clouds scattered across it. The overall scene should evoke a sense of tranquility and natural beauty."
58,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a majestic mountain, colored in shades of green and brown, positioned towards the left side of the image. The mountain is covered in snow, which glistens under the sunlight. In the middle ground, there is a tranquil lake, reflecting the mountain and the surrounding scenery. The lake is colored in shades of blue and is positioned towards the center of the image. In the background, there is a vast expanse of rolling hills, colored in various shades of green, fading into the distance. The hills are dotted with ancient Chinese-style buildings, pagodas, and temples, showcasing the rich cultural heritage. The sky above is clear and blue, with a few fluffy white clouds scattered across it. The overall atmosphere should evoke a sense of peace, tranquility, and natural beauty."
59,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a vibrant, golden dragon with multiple colors, positioned gracefully. On the side, there should be a mountain covered in lush greenery, with sparkling, precious gemstones scattered around. The background should have a serene, misty atmosphere, with soft shades of blue and purple, resembling a traditional Chinese landscape painting. Ensure that the image is free from any text or watermark."
60,"Generate an image with a serene landscape. The foreground should depict a small boat gently floating on a calm river. The boat should be painted in a soft shade of blue, positioned slightly off-center towards the right side of the image. The river should be a shimmering silver color, reflecting the warm hues of the setting sun. In the background, there should be rolling hills covered in lush greenery, reminiscent of ancient Chinese landscapes. The hills should be painted in various shades of green, creating a sense of depth and tranquility. The sky should be a blend of warm oranges, pinks, and purples, representing the fading light of the setting sun. The overall scene should evoke a feeling of peace and harmony. Please ensure that there are no text or watermarks in the generated image."
61,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a flowing clear river with yellow flowers floating on its surface. The flowers should be vibrant and golden in color. The river should be surrounded by lush greenery, with willow trees gently swaying in the breeze. In the background, there should be mist-covered mountains, painted in shades of blue and gray. The mountains should have a majestic and timeless appearance. The overall color palette of the image should be soft and muted, evoking a sense of tranquility."
62,"Generate an image with no text or watermark. The picture should depict a serene landscape in ancient Chinese style. The foreground should feature a vibrant, horizontal indigo-colored mountain range stretching across the image. Several mist-covered peaks should emerge from the clouds, creating a sense of depth and mystery. The background should be a tranquil scene with a soft, pastel-colored sky and a peaceful river flowing through a lush, green valley. Ensure that the image captures the essence of the poem's emotions and objects."
63,"Generate an image with no text or watermark. The picture should depict an ancient Chinese scene. In the foreground, there is a golden alchemist's furnace, emitting a warm glow. Surrounding the furnace, there are lush green trees, with a solitary house nestled among them. The house is made of dark wood and has a traditional Chinese architectural style. The background should be a serene landscape, with rolling hills and a calm river. The color palette should consist of earthy tones, with hints of gold and green."
64,"Create a serene image with an ancient Chinese style. The picture should depict a clear sky with the sun setting, casting a warm glow on the surroundings. In the foreground, place a row of vibrant green mulberry trees, their leaves gently swaying in the breeze. Behind them, position a traditional Chinese city wall, made of weathered gray bricks. The wall should have intricate carvings and a grand entrance gate. Beyond the wall, show a sprawling landscape with rolling hills and distant mountains, painted in soft shades of blue and green. The scene should evoke a sense of tranquility and nostalgia. Ensure that there are no watermarks or text in the image."
65,"Create a serene image with a Chinese poem. Picture a tranquil scene with a golden sunset casting its warm glow upon a rustic village. In the foreground, a narrow alleyway is lined with quaint houses. A group of cows and sheep leisurely make their way home, their silhouettes blending with the fading light. The color palette should consist of soft earth tones, with warm hues dominating the sky. The background should showcase a picturesque landscape, featuring rolling hills, lush greenery, and a meandering river. Ensure that the generated image does not contain any text or watermarks."
66,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there should be a pair of white doves perched on the roof of a traditional Chinese house. The doves symbolize peace and love. The house should be adorned with intricate carvings and have a curved roof. In the background, there should be a village with blooming white apricot flowers. The flowers represent purity and new beginnings. The village should be surrounded by lush green fields and distant mountains. The overall color palette should be soft and serene, with pastel shades of pink, white, and green dominating the scene."
